cases,deaths,countriesAndTerritories,dateRep,countryterritoryCode
298,9,Afghanistan,2020-12-14,AFG
788,14,Albania,2020-12-14,ALB
464,12,Algeria,2020-12-14,DZA
50,1,Andorra,2020-12-14,AND
27,5,Angola,2020-12-14,AGO
0,1,Antigua and Barbuda,2020-12-14,ATG
3558,98,Argentina,2020-12-14,ARG
1013,24,Armenia,2020-12-14,ARM
7,0,Australia,2020-12-14,AUS
2641,58,Austria,2020-12-14,AUT
4451,39,Azerbaijan,2020-12-14,AZE
11,0,Bahamas,2020-12-14,BHS
178,0,Bahrain,2020-12-14,BHR
1355,32,Bangladesh,2020-12-14,BGD
0,0,Barbados,2020-12-14,BRB
1961,9,Belarus,2020-12-14,BLR
4978,159,Belgium,2020-12-14,BEL
122,3,Belize,2020-12-14,BLZ
0,0,Benin,2020-12-14,BEN
1,0,Bhutan,2020-12-14,BTN
120,4,Bolivia,2020-12-14,BOL
811,38,Bosnia and Herzegovina,2020-12-14,BIH
0,0,Botswana,2020-12-14,BWA
21825,279,Brazil,2020-12-14,BRA
0,0,Brunei,2020-12-14,BRN
497,62,Bulgaria,2020-12-14,BGR
136,0,Burkina Faso,2020-12-14,BFA
1127,23,Burma,2020-12-14,MMR
1,0,Burundi,2020-12-14,BDI
55,0,Cabo Verde,2020-12-14,CPV
0,0,Cambodia,2020-12-14,KHM
0,0,Cameroon,2020-12-14,CMR
5916,84,Canada,2020-12-14,CAN
0,0,Central African Republic,2020-12-14,CAF
19,0,Chad,2020-12-14,TCD
2138,40,Chile,2020-12-14,CHL
111,2,China,2020-12-14,CHN
8702,187,Colombia,2020-12-14,COL
0,0,Comoros,2020-12-14,COM
0,0,Congo (Brazzaville),2020-12-14,COG
119,0,Congo (Kinshasa),2020-12-14,COD
0,0,Costa Rica,2020-12-14,CRI
41,0,Cote d'Ivoire,2020-12-14,CIV
3363,78,Croatia,2020-12-14,HRV
69,0,Cuba,2020-12-14,CUB
625,3,Cyprus,2020-12-14,CYP
3657,85,Czechia,2020-12-14,CZE
2642,6,Denmark,2020-12-14,DNK
3,0,Djibouti,2020-12-14,DJI
1,0,Dominica,2020-12-14,DMA
1107,1,Dominican Republic,2020-12-14,DOM
586,1,Ecuador,2020-12-14,ECU
486,22,Egypt,2020-12-14,EGY
0,7,El Salvador,2020-12-14,SLV
0,0,Equatorial Guinea,2020-12-14,GNQ
0,0,Eritrea,2020-12-14,ERI
342,1,Estonia,2020-12-14,EST
54,0,Eswatini,2020-12-14,SWZ
472,3,Ethiopia,2020-12-14,ETH
2,0,Fiji,2020-12-14,FJI
360,0,Finland,2020-12-14,FIN
25357,344,France,2020-12-14,FRA
0,0,Gabon,2020-12-14,GAB
3,0,Gambia,2020-12-14,GMB
2720,46,Georgia,2020-12-14,GEO
16343,206,Germany,2020-12-14,DEU
0,0,Ghana,2020-12-14,GHA
692,85,Greece,2020-12-14,GRC
26,0,Grenada,2020-12-14,GRD
183,18,Guatemala,2020-12-14,GTM
0,0,Guinea,2020-12-14,GIN
0,0,Guinea-Bissau,2020-12-14,GNB
41,1,Guyana,2020-12-14,GUY
0,0,Haiti,2020-12-14,HTI
0,0,Holy See,2020-12-14,VAT
316,1,Honduras,2020-12-14,HND
4153,181,Hungary,2020-12-14,HUN
5,0,Iceland,2020-12-14,ISL
27071,336,India,2020-12-14,IND
6189,166,Indonesia,2020-12-14,IDN
7451,247,Iran,2020-12-14,IRN
1012,14,Iraq,2020-12-14,IRQ
429,1,Ireland,2020-12-14,IRL
1390,16,Israel,2020-12-14,ISR
17937,484,Italy,2020-12-14,ITA
102,2,Jamaica,2020-12-14,JAM
2367,19,Japan,2020-12-14,JPN
2339,30,Jordan,2020-12-14,JOR
764,0,Kazakhstan,2020-12-14,KAZ
366,1,Kenya,2020-12-14,KEN
718,7,"Korea, South",2020-12-14,KOR
462,12,Kosovo,2020-12-14,XKX
174,0,Kuwait,2020-12-14,KWT
297,5,Kyrgyzstan,2020-12-14,KGZ
0,0,Laos,2020-12-14,LAO
629,25,Latvia,2020-12-14,LVA
1275,10,Lebanon,2020-12-14,LBN
0,0,Lesotho,2020-12-14,LSO
0,0,Liberia,2020-12-14,LBR
899,21,Libya,2020-12-14,LBY
32,0,Liechtenstein,2020-12-14,LIE
2849,24,Lithuania,2020-12-14,LTU
0,0,Luxembourg,2020-12-14,LUX
0,0,Madagascar,2020-12-14,MDG
3,1,Malawi,2020-12-14,MWI
1229,4,Malaysia,2020-12-14,MYS
20,0,Maldives,2020-12-14,MDV
93,5,Mali,2020-12-14,MLI
52,3,Malta,2020-12-14,MLT
0,0,Marshall Islands,2020-12-14,MHL
191,3,Mauritania,2020-12-14,MRT
0,0,Mauritius,2020-12-14,MUS
8608,249,Mexico,2020-12-14,MEX
795,25,Moldova,2020-12-14,MDA
0,0,Monaco,2020-12-14,MCO
5,0,Mongolia,2020-12-14,MNG
478,4,Montenegro,2020-12-14,MNE
2012,35,Morocco,2020-12-14,MAR
142,2,Mozambique,2020-12-14,MOZ
267,0,Namibia,2020-12-14,NAM
830,9,Nepal,2020-12-14,NPL
9874,30,Netherlands,2020-12-14,NLD
0,0,New Zealand,2020-12-14,NZL
0,0,Nicaragua,2020-12-14,NIC
59,0,Niger,2020-12-14,NER
418,3,Nigeria,2020-12-14,NGA
613,25,North Macedonia,2020-12-14,MKD
200,0,Norway,2020-12-14,NOR
571,8,Oman,2020-12-14,OMN
2362,36,Pakistan,2020-12-14,PAK
2422,25,Panama,2020-12-14,PAN
5,0,Papua New Guinea,2020-12-14,PNG
669,16,Paraguay,2020-12-14,PRY
0,0,Peru,2020-12-14,PER
1069,3,Philippines,2020-12-14,PHL
8976,188,Poland,2020-12-14,POL
4044,98,Portugal,2020-12-14,PRT
134,0,Qatar,2020-12-14,QAT
4435,121,Romania,2020-12-14,ROU
27651,481,Russia,2020-12-14,RUS
131,0,Rwanda,2020-12-14,RWA
0,0,Saint Kitts and Nevis,2020-12-14,KNA
1,0,Saint Lucia,2020-12-14,LCA
4,0,Saint Vincent and the Grenadines,2020-12-14,VCT
0,0,Samoa,2020-12-14,WSM
0,0,San Marino,2020-12-14,SMR
0,0,Sao Tome and Principe,2020-12-14,STP
139,12,Saudi Arabia,2020-12-14,SAU
14,0,Senegal,2020-12-14,SEN
4995,56,Serbia,2020-12-14,SRB
0,0,Seychelles,2020-12-14,SYC
0,0,Sierra Leone,2020-12-14,SLE
7,0,Singapore,2020-12-14,SGP
2190,27,Slovakia,2020-12-14,SVK
833,22,Slovenia,2020-12-14,SVN
0,0,Solomon Islands,2020-12-14,SLB
0,0,Somalia,2020-12-14,SOM
7999,170,South Africa,2020-12-14,ZAF
0,0,South Sudan,2020-12-14,SSD
0,0,Spain,2020-12-14,ESP
655,3,Sri Lanka,2020-12-14,LKA
239,3,Sudan,2020-12-14,SDN
13,0,Suriname,2020-12-14,SUR
0,0,Sweden,2020-12-14,SWE
0,9,Switzerland,2020-12-14,CHE
125,12,Syria,2020-12-14,SYR
3,0,Taiwan*,2020-12-14,CNG1925
80,-1,Tajikistan,2020-12-14,TJK
0,0,Tanzania,2020-12-14,TZA
28,0,Thailand,2020-12-14,THA
0,0,Timor-Leste,2020-12-14,TLS
30,0,Togo,2020-12-14,TGO
15,0,Trinidad and Tobago,2020-12-14,TTO
968,58,Tunisia,2020-12-14,TUN
26919,218,Turkey,2020-12-14,TUR
190920,1350,US,2020-12-14,USA
461,1,Uganda,2020-12-14,UGA
9605,163,Ukraine,2020-12-14,UKR
1194,8,United Arab Emirates,2020-12-14,ARE
18541,144,United Kingdom,2020-12-14,GBR
528,1,Uruguay,2020-12-14,URY
145,0,Uzbekistan,2020-12-14,UZB
0,0,Vanuatu,2020-12-14,VUT
609,5,Venezuela,2020-12-14,VEN
2,0,Vietnam,2020-12-14,VNM
1639,17,West Bank and Gaza,2020-12-14,PSE
0,0,Yemen,2020-12-14,YEM
57,1,Zambia,2020-12-14,ZMB
27,0,Zimbabwe,2020-12-14,ZWE
